Дата,Хляб,Мляко,Яйца,Кафе,Захар
2024-03-02,59,13,10,50,0
2024-03-03,70,75,84,69,88
2024-03-04,43,86,25,5,60
2024-03-05,7,14,62,66,42
2024-03-06,46,91,88,6,41
2024-03-07,34,97,85,50,24
2024-03-08,77,65,58,71,38
2024-03-09,80,31,26,41,34
2024-03-10,35,86,48,63,2
2024-03-11,49,62,76,14,43
2024-03-12,3,85,32,28,50
2024-03-13,1,50,97,32,93
2024-03-14,5,24,98,93,97
2024-03-15,53,57,0,26,11
2024-03-16,3,62,20,35,18
2024-03-17,53,61,54,28,43
2024-03-18,92,21,5,37,58
2024-03-19,62,57,91,56,48
2024-03-20,17,57,80,96,60
2024-03-21,89,85,68,26,16
2024-03-22,43,48,94,54,73
2024-03-23,33,51,4,32,56
2024-03-24,73,41,2,67,54
2024-03-25,61,69,52,85,46
2024-03-26,99,14,22,65,11
2024-03-27,13,53,52,9,61
2024-03-28,94,59,36,4,79
2024-03-29,47,96,73,73,87
2024-03-30,14,7,73,96,82
2024-03-31,71,52,82,37,7
2024-04-01,77,59,16,12,94
2024-04-02,86,4,84,30,20
2024-04-03,61,67,77,46,80
2024-04-04,39,5,72,99,86
2024-04-05,84,95,0,87,79
2024-04-06,79,93,50,51,69
2024-04-07,81,46,44,55,71
2024-04-08,52,98,76,14,24
2024-04-09,23,54,3,28,81
2024-04-10,25,39,61,7,88
2024-04-11,88,51,64,4,11
2024-04-12,59,15,31,28,14
2024-04-13,40,12,33,46,58
2024-04-14,28,29,91,67,25
2024-04-15,14,18,94,75,25
2024-04-16,44,16,71,44,46
2024-04-17,64,62,38,1,31
2024-04-18,88,18,25,26,9
2024-04-19,70,91,33,94,15
2024-04-20,8,57,53,35,70
2024-04-21,87,54,2,35,16
2024-04-22,0,89,49,25,22
2024-04-23,7,89,11,42,25
2024-04-24,87,61,64,26,84
2024-04-25,62,22,53,68,85
2024-04-26,10,8,4,19,6
2024-04-27,80,11,93,10,13
2024-04-28,7,0,93,73,78
2024-04-29,34,57,56,37,6
2024-04-30,34,0,16,5,8
2024-05-01,32,33,46,71,47
2024-05-02,4,95,22,22,71
2024-05-03,40,47,78,46,58
2024-05-04,27,88,84,89,86
2024-05-05,6,0,13,45,92
2024-05-06,72,15,65,11,81
2024-05-07,71,60,74,89,94
2024-05-08,11,63,50,12,93
2024-05-09,33,62,37,61,38
2024-05-10,32,68,63,81,98
2024-05-11,47,21,97,88,17
2024-05-12,22,92,37,96,58
2024-05-13,61,66,49,59,16
2024-05-14,87,75,97,42,13
2024-05-15,36,25,81,75,30
2024-05-16,98,15,29,99,23
2024-05-17,43,50,78,67,98
2024-05-18,85,85,90,4,59
2024-05-19,90,56,50,36,44
2024-05-20,34,28,62,71,97
2024-05-21,64,77,97,91,2
2024-05-22,98,91,51,30,36
2024-05-23,46,68,37,8,42
2024-05-24,77,46,96,50,39
2024-05-25,2,93,87,28,89
2024-05-26,0,61,78,77,54
2024-05-27,4,68,29,39,86
2024-05-28,89,75,50,40,38
2024-05-29,13,15,80,85,14
2024-05-30,26,89,4,10,3
2024-05-31,8,89,28,22,92
2024-06-01,78,47,3,0,85
2024-06-02,14,84,9,45,24
2024-06-03,89,38,55,20,12
2024-06-04,41,99,16,89,81
2024-06-05,76,32,73,35,32
2024-06-06,50,93,16,53,15
2024-06-07,62,22,83,86,41
2024-06-08,95,9,87,56,65
2024-06-09,51,68,68,0,54
2024-06-10,95,99,33,62,98
2024-06-11,3,33,5,53,41
2024-06-12,93,51,52,54,33
2024-06-13,22,94,65,39,29
2024-06-14,14,9,76,14,12
2024-06-15,42,18,42,20,12
2024-06-16,28,57,74,46,17
2024-06-17,35,95,22,72,31
2024-06-18,12,0,54,52,95
2024-06-19,31,68,79,8,98
2024-06-20,70,3,94,73,38
2024-06-21,58,15,74,51,45
2024-06-22,85,23,15,56,28
2024-06-23,27,79,7,25,61
2024-06-24,65,1,3,40,92
2024-06-25,41,91,3,34,61
2024-06-26,44,31,55,62,56
2024-06-27,61,90,24,24,15
2024-06-28,56,83,66,89,55
2024-06-29,5,23,95,74,9
2024-06-30,27,11,66,37,29
2024-07-01,27,49,26,1,24
2024-07-02,43,34,92,6,83
2024-07-03,83,32,31,81,4
2024-07-04,29,32,49,90,64
2024-07-05,61,60,60,33,93
2024-07-06,74,50,50,90,48
2024-07-07,91,42,18,16,2
2024-07-08,88,11,20,42,44
2024-07-09,61,66,4,58,13
2024-07-10,96,64,81,50,29
2024-07-11,0,32,91,53,67
2024-07-12,26,39,41,23,17
2024-07-13,61,73,60,24,61
2024-07-14,76,42,21,70,36
2024-07-15,2,43,20,51,24
2024-07-16,69,28,69,69,47
2024-07-17,71,12,0,87,64
2024-07-18,26,11,4,32,52
2024-07-19,8,94,11,48,78
2024-07-20,61,45,89,28,72
2024-07-21,36,1,45,62,14
2024-07-22,96,34,33,21,48
2024-07-23,50,86,48,25,87
2024-07-24,43,80,77,27,67
2024-07-25,23,89,89,84,11
2024-07-26,78,7,44,48,58
2024-07-27,58,92,26,70,36
2024-07-28,31,25,72,80,60
2024-07-29,95,73,25,83,42
2024-07-30,87,89,46,48,69
2024-07-31,51,33,85,19,38
2024-08-01,61,6,55,85,55
2024-08-02,57,67,93,91,62
2024-08-03,51,57,62,62,45
2024-08-04,11,74,47,60,87
2024-08-05,38,28,60,48,10
2024-08-06,1,35,80,70,61
2024-08-07,2,88,25,0,76
2024-08-08,55,20,35,95,97
2024-08-09,80,35,0,12,24
2024-08-10,58,9,7,93,70
2024-08-11,1,72,98,86,51
2024-08-12,1,23,51,50,3
2024-08-13,91,63,78,55,58
2024-08-14,53,98,46,82,71
2024-08-15,86,48,55,61,19
2024-08-16,95,98,85,31,92
2024-08-17,96,35,13,29,62
2024-08-18,0,81,89,28,53
2024-08-19,18,95,27,48,73
2024-08-20,1,23,86,44,97
2024-08-21,52,22,77,92,56
2024-08-22,43,61,87,29,89
2024-08-23,89,95,1,15,40
2024-08-24,31,36,25,39,2
2024-08-25,69,11,13,18,5
2024-08-26,31,54,58,17,4
2024-08-27,67,12,55,0,4
2024-08-28,54,22,6,77,53
2024-08-29,74,88,2,46,46
2024-08-30,55,98,22,65,86
2024-08-31,16,29,17,91,48
2024-09-01,37,16,37,93,8
2024-09-02,23,61,98,37,98
2024-09-03,68,83,14,50,19
2024-09-04,97,88,63,62,60
2024-09-05,69,85,88,3,34
2024-09-06,85,12,27,0,49
2024-09-07,10,58,73,7,81
2024-09-08,15,18,38,28,61
2024-09-09,96,48,56,54,16
2024-09-10,72,99,16,2,87
2024-09-11,58,11,85,31,2
2024-09-12,69,60,89,9,31
2024-09-13,79,18,43,73,98
2024-09-14,92,75,24,82,12
2024-09-15,2,8,16,33,88
2024-09-16,19,70,12,96,72
2024-09-17,58,27,83,86,67
2024-09-18,35,77,24,54,13
2024-09-19,18,94,67,91,97
2024-09-20,89,51,9,31,10
2024-09-21,66,82,66,49,55
2024-09-22,18,15,17,6,66
2024-09-23,19,68,99,92,91
2024-09-24,95,98,85,7,28
2024-09-25,70,11,33,64,8
2024-09-26,51,24,7,56,66
2024-09-27,32,51,39,66,24
2024-09-28,39,84,82,87,97
2024-09-29,38,99,41,86,75
2024-09-30,81,52,40,58,41
2024-10-01,0,22,5,71,8
2024-10-02,10,15,51,53,78
2024-10-03,91,56,25,66,39
2024-10-04,56,38,63,50,24
2024-10-05,88,52,97,96,4
2024-10-06,49,41,58,91,10
2024-10-07,22,57,55,7,58
2024-10-08,30,38,58,33,97
2024-10-09,93,13,69,34,87
2024-10-10,41,94,32,95,78
2024-10-11,98,4,52,87,37
2024-10-12,6,34,21,77,71
2024-10-13,15,86,20,31,4
2024-10-14,89,92,69,45,47
2024-10-15,59,74,69,15,89
2024-10-16,1,17,3,67,17
2024-10-17,0,75,93,36,69
2024-10-18,47,8,74,53,36
2024-10-19,11,73,61,84,59
2024-10-20,68,57,61,13,47
2024-10-21,36,16,93,94,76
2024-10-22,31,6,94,54,27
2024-10-23,8,45,23,47,68
2024-10-24,98,12,54,81,76
2024-10-25,18,39,8,6,80
2024-10-26,47,41,2,73,39
2024-10-27,79,8,30,6,44
2024-10-28,2,49,39,32,95
2024-10-29,19,26,35,22,61
2024-10-30,23,65,23,84,92
2024-10-31,53,4,94,18,57
2024-11-01,32,28,5,18,66
2024-11-02,23,36,65,35,55
2024-11-03,74,37,83,28,39
2024-11-04,71,82,91,59,97
2024-11-05,35,7,74,81,39
2024-11-06,37,64,3,1,90
2024-11-07,83,85,78,0,76
2024-11-08,98,16,5,46,32
2024-11-09,88,70,93,68,5
2024-11-10,98,88,50,19,87
2024-11-11,24,44,61,10,18
2024-11-12,92,3,56,1,79
2024-11-13,17,35,65,66,39
2024-11-14,81,69,78,86,91
2024-11-15,65,30,74,11,96
2024-11-16,53,18,7,19,58
2024-11-17,34,60,25,4,58
2024-11-18,79,53,50,36,47
2024-11-19,60,38,44,37,40
2024-11-20,40,90,43,93,12
2024-11-21,99,73,4,8,44
2024-11-22,32,89,69,97,88
2024-11-23,67,18,25,52,52
2024-11-24,32,38,67,43,41
2024-11-25,13,66,18,98,99
2024-11-26,20,44,83,85,62
2024-11-27,47,12,96,23,26
2024-11-28,19,91,19,80,37
2024-11-29,7,57,11,73,59
2024-11-30,6,19,46,29,6
2024-12-01,66,91,0,58,4
2024-12-02,16,71,89,86,44
2024-12-03,32,60,13,95,57
2024-12-04,47,38,63,80,30
2024-12-05,75,0,37,80,22
2024-12-06,58,2,36,13,41
2024-12-07,85,76,10,8,9
2024-12-08,21,91,99,39,31
2024-12-09,29,61,76,65,52
2024-12-10,37,62,2,24,29
2024-12-11,50,24,32,72,38
2024-12-12,53,55,5,21,30
2024-12-13,7,32,49,3,81
2024-12-14,26,37,9,25,99
2024-12-15,26,5,4,57,1
2024-12-16,97,57,22,28,77
2024-12-17,20,43,9,97,76
2024-12-18,29,44,43,86,92
2024-12-19,96,31,1,36,11
2024-12-20,27,44,12,74,38
2024-12-21,63,60,39,69,65
2024-12-22,96,46,1,17,95
2024-12-23,68,20,83,84,12
2024-12-24,60,79,64,41,45
2024-12-25,47,84,62,99,26
2024-12-26,18,74,72,40,16
2024-12-27,3,35,16,37,94
2024-12-28,34,98,8,33,97
2024-12-29,63,18,74,16,59
2024-12-30,48,19,14,36,63
2024-12-31,16,56,23,24,87
